,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,CentralFoods,"Supplying quality frozen foods to the catering industry inclu free-from, gluten-free, vegetarian, vegan 
Contact us: 01604 858 522 or: info@centralfoods.co.uk","Northampton, United Kingdom",1095,2307,6487,0,"Delighted to welcome our first visitors to CFG HQ #postcovid - @BourneLeisureLtd! A day full of exciting #menudevelopment ideas, #bringiton! Get in touch to see how we can #worktogether on your next #newmenu 👍🍲😋
#frozen #foodservice #catering #hospitality #cheflife https://t.co/8iEEhGoMPD","['postcovid', 'menudevelopment', 'bringiton', 'worktogether', 'newmenu', 'frozen', 'foodservice', 'catering', 'hospitality', 'cheflife']"
1,cateringbm,Established by #FundamentallyFoodies to provide exceptional & sustainable food. #GreatTeams create the #bmFamily & #BestPlacetoWork.,"Reading, England",736,2736,10890,0,"We are delighted to announce the launch of our new post-Covid brand strategy, outlining our vision for 2022 and beyond. #BM #Strategy #PostCovid #SupportYouCanTrust

https://t.co/tkdODOWCeX","['BM', 'Strategy', 'PostCovid', 'SupportYouCanTrust']"
2,c_pilsl,,,428,146,1651,0,#postcovid #postquarantine  this is a little bit more like it! https://t.co/BUlWFQMt25,"['postcovid', 'postquarantine']"
3,c_pilsl,,,428,146,1651,0,#postcovid #postquarantine  the photo does not convey my mood. every shade of grey is bliss. https://t.co/jFed929dN6,"['postcovid', 'postquarantine']"
4,isfcentre,"Independent, apolitical, and impact-driven think tank focused on #sustainablefinance research & solutions in Central #Europe & beyond | #ESG #sustainability #EU","Prague, Czech Republic",4253,1557,4600,2,"👇new analysis by @CANEurope @ceebankwatch on 10 EU countries' recovery and resilience plans. None of the reforms or investments should harm the environment. #EURecovery #JustTransition #postcovid #ClimateAction 
https://t.co/IE1YUkhVca",[]
5,Eco1stArt,"Featuring the most stunning eco friendly items on the planet: fine art, furniture, jewelry & apparel.Connecting ecological & innovative artists worldwide.",USA,590,5651,337343,2,"👇new analysis by @CANEurope @ceebankwatch on 10 EU countries' recovery and resilience plans. None of the reforms or investments should harm the environment. #EURecovery #JustTransition #postcovid #ClimateAction 
https://t.co/IE1YUkhVca",[]
6,MartinellChiara,"Director of @CANEurope, Climate Action Network Europe, Europe's leading NGO coalition fighting dangerous climate change | Opinions are my own |","Brussels, Belgium",1342,1114,2543,2,"👇new analysis by @CANEurope @ceebankwatch on 10 EU countries' recovery and resilience plans. None of the reforms or investments should harm the environment. #EURecovery #JustTransition #postcovid #ClimateAction 
https://t.co/IE1YUkhVca","['EURecovery', 'JustTransition', 'postcovid', 'ClimateAction']"
7,mugacode,Writing code @ Mecritos #tech #100DaysOfCode,NY,431,479,3366,28,"Did you know? #Unica Discover is #cloud native!

#hclswlobp #UnicaIsBack #HCLSoftware #nocode #lowcode #devops #nodejs #flutter #Python #Serverless #javascript #cybersecurity #womenintech #100DaysOfCode #postcovid #ai #iot #bot #codenewbie #github #digital https://t.co/jHa4NtlZug","['Unica', 'cloud', 'hclswlobp', 'UnicaIsBack', 'HCLSoftware', 'nocode', 'lowcode', 'devops', 'nodejs']"
8,iPythonistaBot,I'm Pythonista The Bot. Created using python by @iharshgor. My job is to retweet any tweet that says python.,,4,2930,1057889,28,"Did you know? #Unica Discover is #cloud native!

#hclswlobp #UnicaIsBack #HCLSoftware #nocode #lowcode #devops #nodejs #flutter #Python #Serverless #javascript #cybersecurity #womenintech #100DaysOfCode #postcovid #ai #iot #bot #codenewbie #github #digital https://t.co/jHa4NtlZug","['Unica', 'cloud', 'hclswlobp', 'UnicaIsBack', 'HCLSoftware', 'nocode', 'lowcode', 'devops', 'nodejs']"
9,Lala35539674,We amplify the voices of mobile developers. Grow your software project by engaging your supporters with https://t.co/oObO7vtdrM 🤯,,0,1172,198319,28,"Did you know? #Unica Discover is #cloud native!

#hclswlobp #UnicaIsBack #HCLSoftware #nocode #lowcode #devops #nodejs #flutter #Python #Serverless #javascript #cybersecurity #womenintech #100DaysOfCode #postcovid #ai #iot #bot #codenewbie #github #digital https://t.co/jHa4NtlZug","['Unica', 'cloud', 'hclswlobp', 'UnicaIsBack', 'HCLSoftware', 'nocode', 'lowcode', 'devops', 'nodejs']"
